Graph,Title ,Visual Content,Description ,Comments,,GPT description ,,
AQA_graph_021.png,Two signal emitters connected to a signal generator with two signal recieving points.,"The diagram labelled Figure 3 is a plan view (not to scale) showing an experimental setup involving a signal generator connected to two output points, P and Q, which are placed vertically along a line through point O. From these points, the apparatus is aligned so that O lies at the intersection of two dashed reference lines extending horizontally and vertically across the diagram. On the right-hand side of the figure, along the horizontal dashed line, there are two points marked A and B, each enclosed by a small circular or oval outline. These represent detectors or receivers positioned at different points in the wave field generated by the sources at P and Q. Point A lies directly to the right of O, while point B is vertically above A along the other dashed reference line. The signal generator, shown as a rectangular box on the left, provides an alternating output signal to both sources P and Q, which are likely loudspeakers or transducers producing coherent waves (sound or microwaves). The equal wiring connections indicate that both sources receive the same signal and therefore emit waves of the same frequency and phase. This arrangement represents a two-source interference experiment, where the waves from P and Q overlap, creating regions of constructive and destructive interference at different positions along the plane — particularly at points like A and B. Measurements at these points would show variations in signal amplitude depending on the path difference between the two sources. The dashed construction lines mark the reference axes used to measure these positions relative to the midpoint O, helping to analyse the geometry of the interference pattern.","
Two signal emitter connected to signal generator with two signal receivers to replicate double slit experiment : 
The diagram labelled Figure 3 shows a an experieOn the left side of the image, the rounded rectangle on the left is the signal generator, attatched to it are two circuits that power the two signal generators P and Q. Signal generator P is connected 180 degrees out of phase to signal generator Q. On the right side of the image, signal reciever A is placed at distance OA from the midpoint of P and Q represented by O. Signal reciever B is placed at distance AB perpendicular to OA from signal receiver A.
",,,"The diagram labelled Figure 3 shows a circuit setup used to produce and detect sound waves. A signal generator is connected to two loudspeakers P and Q, which are aligned vertically and emit sound in phase. Point O marks the midpoint between them, lying on the line joining their centres. Two microphones, labelled A and B, are positioned to the right of O along perpendicular dashed reference lines. The setup is labelled “plan view – not to scale”. This arrangement is typically used to investigate interference of sound waves, allowing the measurement of wavelength and path difference using the positions of constructive and destructive interference detected by the microphones.",,
AQA_graph_022.png,A graph plotting intensity against wavelength.,"The diagram labelled Figure 2 shows a spectrum graph displaying how the intensity of light varies with wavelength. The horizontal axis represents wavelength in nanometres (nm), ranging from 300 nm to 700 nm, covering the ultraviolet to visible light region. The vertical axis shows intensity in arbitrary units, increasing from 0.0 at the bottom to 1.0 at the top. A continuous black line traces the variation of intensity across the wavelength range, forming a series of sharp peaks and troughs. These peaks correspond to specific wavelengths where the emission is strongest, indicating distinct spectral lines produced by the source. The tallest peaks occur around the shorter wavelengths (approximately 380–420 nm), showing that the source emits most strongly in the violet–blue region of the spectrum. Two of the peaks are marked X and Y, with Y being the highest, located just to the right of X. Their close spacing suggests they arise from two neighbouring transitions of similar energy. Several other smaller peaks appear at higher wavelengths around 470 nm, 520 nm, and 650 nm, representing weaker emission lines in the green and red parts of the spectrum. The graph overall indicates that the light source emits discrete wavelengths rather than a continuous spectrum, characteristic of a gas discharge or atomic emission process. The positions and relative heights of the peaks can be used to identify the element or elements present, while the grid background provides precise wavelength measurement for comparison against known spectral data.",,,,"The diagram labelled Figure 2 presents a graph of intensity against wavelength, used to analyse spectral emission. The horizontal axis is labelled wavelength / nm (ranging from 300 nm to 700 nm) and the vertical axis is labelled intensity / arbitrary units (from 0.0 to 1.0). The trace shows a series of distinct peaks, with two large adjacent peaks marked X and Y near 400 nm. These correspond to strong spectral lines emitted by the source. The smaller peaks at longer wavelengths indicate weaker emissions. The graph demonstrates the discrete nature of atomic spectra, with each peak representing a photon wavelength associated with a quantised electron transition.",,
AQA_graph_023.png,A mechanical with a spindle connecting to a rotatable plate adjacent to a fixed plate separated by an air gap.,"The diagram labelled Figure 1 shows a rotating-plate capacitor consisting of two semicircular metal plates separated by an air gap. The fixed plate is stationary, while the rotatable plate is mounted on a spindle, allowing it to pivot about its central axis. The spindle is represented as a cylindrical rod extending outward from the plates, and an arrow around it indicates the direction of rotation. Between the two plates, a small air gap is maintained, which acts as the dielectric medium of the capacitor. As the rotatable plate turns, the overlapping area between the two semicircular plates changes. This variation is represented by the angle θ (theta), which measures the angular displacement of the rotatable plate relative to the fixed one. When θ increases or decreases, the effective capacitance of the system changes because capacitance is directly proportional to the overlapping area and inversely proportional to the separation (the air gap). Therefore, by adjusting θ, the capacitance can be varied smoothly without altering the physical spacing between the plates. This type of mechanism is commonly used in variable capacitors for tuning circuits, such as in radios or oscillators, where precise control of capacitance is required. The illustration clearly highlights the mechanical relationship between the plates, spindle, and air gap that allows continuous adjustment of the electrical property.",,,,"The diagram labelled Figure 1 shows a rotating-plate capacitor consisting of two semicircular metal plates separated by an air gap. The fixed plate is stationary, while the rotatable plate is mounted on a spindle, allowing it to pivot about its central axis. The spindle is represented as a cylindrical rod extending outward from the plates, and an arrow around it indicates the direction of rotation. Between the two plates, a small air gap is maintained, which acts as the dielectric medium of the capacitor. As the rotatable plate turns, the overlapping area between the two semicircular plates changes. This variation is represented by the angle θ (theta), which measures the angular displacement of the rotatable plate relative to the fixed one. When θ increases or decreases, the effective capacitance of the system changes because capacitance is directly proportional to the overlapping area and inversely proportional to the separation (the air gap). Therefore, by adjusting θ, the capacitance can be varied smoothly without altering the physical spacing between the plates. This type of mechanism is commonly used in variable capacitors for tuning circuits, such as in radios or oscillators, where precise control of capacitance is required. The illustration clearly highlights the mechanical relationship between the plates, spindle, and air gap that allows continuous adjustment of the electrical property.",,
AQA_graph_024.png,,"The diagram labelled Figure 6 illustrates an experimental setup used to investigate the magnetic force between two parallel current-carrying wires. The figure is divided into two sections: an electrical circuit schematic at the top and a physical apparatus diagram below it. In the top section, the circuit consists of a cell or power supply, an ammeter (A) for measuring current, and a variable resistor or rheostat symbol, allowing the current in the circuit to be adjusted. This setup provides a controllable direct current (I) that is supplied to the two wires in the lower diagram. In the lower section, two parallel horizontal wires, labelled wire X and wire Y, are shown. The lower wire (X) is mounted on a pan balance, represented at the bottom of the figure, while the upper wire (Y) is suspended a small vertical distance d above it. Both wires are of equal length L and carry identical currents I, but in opposite directions, as indicated by the arrows — current flows to the right through wire X and to the left through wire Y. The two wires are connected via terminal blocks at each end, which ensure electrical contact and mechanical support. The pan beneath the lower wire measures small changes in apparent weight caused by the magnetic interaction between the wires. When currents flow in opposite directions, the wires repel each other, and this force slightly alters the reading on the balance. By adjusting the current with the variable resistor and recording the change in balance reading, the experiment can be used to calculate the force per unit length (F/L) between the wires, given by the magnetic interaction equation  The setup demonstrates the magnetic force between current-carrying conductors, a fundamental principle used to define the ampere and to explore the relationship between current, distance, and magnetic field strength.",,,,"The diagram labelled Figure 6 shows an apparatus for measuring the force between two parallel current-carrying wires. The upper part of the circuit includes an ammeter, a variable resistor, and a battery. The lower part depicts two horizontal wires X and Y separated by a distance d, with wire X supported on a pan balance via terminal blocks. The current I flows in opposite directions in the two wires. The lower wire Y exerts a magnetic force on wire X*, causing a measurable change in mass reading g. The arrangement is used to determine the magnetic force per unit length and verify the Ampère’s force law.",,
AQA_graph_025.png,,"The diagram labelled Figure 2 shows an electrical circuit used to measure the potential difference across two resistors connected in series. On the left side of the diagram, there is a power supply with an electromotive force (emf) of 1.62 V, represented by a cell symbol with its positive terminal at the top. A switch S is connected in series with the power supply, allowing the circuit to be opened or closed to control the flow of current. From the positive terminal of the cell, a wire leads to point X on the right-hand side of the circuit, where two resistors are connected vertically in series. The upper resistor has a resistance of 2.2 Ω, and the lower resistor has a resistance of 6.8 Ω, joined end-to-end between points X and Y. A voltmeter, symbolised by a circle with the letter V, is connected in parallel across the two resistors — between the top junction (at point X) and the bottom junction (at point Y). This placement allows it to measure the potential difference across the entire resistor combination. The negative terminal of the power supply is connected to point Y, completing the circuit. When the switch S is closed, current flows from the positive terminal of the 1.62 V supply through the resistors, creating a voltage drop across them that the voltmeter measures. Since the resistors are in series, the same current passes through both, and the total resistance of the pair is the sum of their individual values (2.2 Ω + 6.8 Ω = 9.0 Ω). The setup demonstrates the application of Ohm’s law and basic principles of series resistor combinations and voltage measurement, where the voltmeter must be connected in parallel to correctly record the total potential difference across both resistors.",,,,"The diagram labelled Figure 2 shows an electrical circuit containing a power supply of 1.62 V emf, a switch S, a voltmeter V, and two resistors of 2.2 Ω and 6.8 Ω connected in series between terminals X and Y. The voltmeter is connected in parallel with the combination to measure the potential difference across the resistors. When the switch is closed, current flows through the resistors, and the voltmeter reading can be used to verify Ohm’s law or determine the total resistance in the circuit.",,
AQA_graph_026.png,,"The diagram labelled Figure 5 shows a graph of potential difference (V) plotted against current (I), illustrating the relationship between these two electrical quantities in an experimental setup. The horizontal axis is labelled I / A, representing current in amperes, and spans from 0.70 A to 1.10 A. The vertical axis is labelled V / V, representing potential difference in volts, and ranges from 0.10 V to 0.70 V. Each plotted point on the graph is marked with an ‘×’ symbol and includes a vertical error bar, indicating the uncertainty in the measured voltage values. The data points form a clear downward trend, showing that as the current increases, the voltage decreases. This inverse relationship suggests that the component or circuit under test exhibits internal resistance or a non-ohmic behaviour, where the potential difference drops due to increased current flow or energy losses within the source. The slope of the graph can be used to determine the internal resistance (r) and electromotive force (ε) of the power source if the data represents a cell or battery under load, based on the equation  In this case, the straight-line portion of the data implies a linear relationship consistent with that equation — the negative gradient corresponds to the internal resistance, while the extrapolated intercept on the voltage axis gives the emf of the source. Overall, Figure 5 provides an experimental visualisation of how voltage varies with current in an electrical circuit, with the inclusion of error bars indicating that measurement uncertainties were accounted for, improving the reliability and precision of the analysis.",,,,"The diagram labelled Figure 5 shows a graph of V against I, displaying experimental results with uncertainty bars. The horizontal axis is labelled I / A (from 0.70 A to 1.10 A) and the vertical axis is labelled V / V (from 0.10 V to 0.70 V). Data points are plotted with vertical error bars and follow a downward linear trend, indicating that voltage decreases as current increases. This behaviour suggests the presence of internal resistance within a power source. The gradient of the line of best fit would give –r (internal resistance), and the intercept would give the emf ε of the cell.",,
AQA_graph_027.png,,,,,,"The diagram labelled Figure 1 shows a force–extension graph for a material under tensile stress. The horizontal axis is labelled extension, and the vertical axis is labelled force. The graph rises steeply and linearly from the origin, then curves gradually, flattening near the top at a point marked A. The linear region represents Hooke’s law behaviour, where force is proportional to extension. Beyond this point, the curve deviates as the material undergoes plastic deformation, and point A marks the elastic limit or yield point.",,
AQA_graph_028.png,,,,,,"The diagram labelled Figure 2 shows a circular protractor setup used to study refraction of light through a transparent block. The protractor scale is labelled in degrees around its edge, with the incident ray drawn entering the block at an angle. The outline of the transparent semicircular block is shown with a dashed line. Points A and B are marked outside the block to indicate measured ray positions. The setup allows determination of angles of incidence and refraction, supporting Snell’s law by comparing sin i and sin r.",,
AQA_graph_029.png,,,,,,"The diagram labelled Figure 3 shows a zip-line system used to model tension in supporting cables. Two towers or poles, labelled A and B, are connected by cables meeting at a point P, where a load or pulley is suspended. The cable from A slopes downward to P, while the cable from B slopes upward. The setup demonstrates the equilibrium of forces on the load at P, where the tensions in the two cables balance the weight. It is commonly used to calculate resultant tension forces and angles in static equilibrium problems.",,"The diagram labelled Figure 29 shows a golf-ball trajectory similar to an earlier figure but extended to show the full parabolic path. The golf ball is launched from the ground at an angle of 35° with initial velocity u, rising along a dashed parabolic path towards a point X at the top of a sandpit wall. The shaded region represents the sandpit. The annotation “not to scale” indicates schematic proportions. The diagram illustrates projectile motion, showing how the initial velocity components, angle of projection, and gravitational acceleration determine the maximum height and range of the ball relative to the obstacle."
AQA_graph_030.png,,,,,,"The diagram labelled Figure 3 shows the Earth and the orbit of a satellite. The Earth is represented as a circle with labelled North Pole, South Pole, and equator. Points X, Y, and Z mark positions along the orbital path, which passes over the poles in a tilted plane relative to the equator. Arrows indicate the direction of orbital motion. The figure represents a polar orbit, where the satellite travels over both poles, useful for mapping and Earth-observation applications.",,
AQA_graph_031.png,,,,,,"The diagram labelled Figure 7 shows a retractable steel tape measure extended over an edge towards the floor. The tape bends under its own weight, forming a curved sagging line. The horizontal and vertical distances are labelled x and y, respectively, while the floor and wall edge are shaded. The figure demonstrates how gravity causes deflection of a flexible tape, and is used to analyse the bending of thin materials or to apply catenary-curve approximations.",,
AQA_graph_032.png,,,,,,"The diagram labelled Figure 9 shows two oscillating electric field waves plotted on the same graph. The horizontal axis is labelled time / 10⁻¹⁴ s and the vertical axis electric field strength. The solid curve represents the incident wave, while the dashed curve shows the reflected wave. The reflected wave is phase-shifted relative to the incident one. The graph demonstrates interference between incident and reflected electromagnetic waves, producing stationary wave patterns on a reflecting surface.",,
AQA_graph_033.png,,,,,,"The diagram labelled Figure 6 shows a pair of oscilloscope control dials. The left dial is marked volts / div with settings from 0.1 V to 20 V and 50 mV to 1 V ranges. The right dial is marked time / div with scales from 0.1 s to 50 μs. Each dial has a rotary selector knob and pointer marking the chosen scale. This illustration represents the calibration controls of a cathode-ray oscilloscope (CRO), allowing adjustment of the vertical and horizontal sensitivity when displaying voltage–time traces.",,
AQA_graph_034.png,,,,,,"The diagram labelled Figure 4 shows a Wheatstone bridge circuit built with four resistors arranged in a square. The resistors are labelled 2.2 Ω (AB), 3.9 Ω (BC), 6.8 Ω (CD), and 8.2 Ω (DA). A voltmeter (V) is connected between points X and Y, which are linked to a battery and switch on the left. Two connecting leads with crocodile clips are shown for completing the circuit. The circuit is used to measure an unknown resistance by balancing the bridge when no current flows through the voltmeter.",,
AQA_graph_035.png,,,,,,"The diagram labelled Figure 1 shows a pressure–volume (p–V) graph for a gas undergoing a thermodynamic process. The horizontal axis is labelled volume / 10⁻³ m³ and the vertical axis pressure / 10⁵ Pa. The curve passes through three points C, B, and A, with the pressure decreasing as volume increases. Point A is annotated “at 27 °C”, indicating an isothermal expansion. The graph demonstrates the inverse relationship between pressure and volume consistent with Boyle’s law, with arrows showing the direction of the process from C → A.",,
AQA_graph_036.png,,,,,,"The diagram labelled Figure 3 shows an electrical circuit used for charging or discharging a capacitor. A cell, ammeter (A), and variable resistor are connected in series, with a voltmeter (V) placed in parallel across a capacitor on the right-hand side. A shorting lead is connected across the capacitor to allow it to discharge quickly when required. The setup is used to record the variation of current and voltage with time during capacitor charging and discharging, illustrating exponential decay in current.",,
AQA_graph_037.png,,,,,,"The diagram labelled Figure 1 shows a simple electrical circuit for measuring potential difference across various resistors. A power supply of emf ε and internal resistance r connects to a voltmeter V between terminals X and Y. To the right, four resistors of 2.2 Ω, 3.9 Ω, 6.8 Ω, and 8.2 Ω are shown, representing alternative load resistors that can be connected in the circuit. The switch S allows current to flow when closed. The arrangement enables investigation of how terminal potential difference varies with load resistance and internal resistance of the supply.",,
AQA_graph_038.png,,,,,,"The diagram labelled Figure 1 shows a semicircular glass block placed on a sheet of paper. A single incident ray enters the block through its flat face at the centre, refracts inside the block, and exits as an emergent ray along the curved surface. Both rays are marked with arrows indicating their directions. The setup demonstrates refraction and total internal reflection within a transparent semicircular block, allowing measurement of the critical angle for the material.",,
AQA_graph_039.png,,,,,,"The diagram labelled Figure 7 shows a circuit containing five lamps (A, B, C, D, E) connected to a 9.0 V battery. Lamps A and B are in the top branch, lamps C and D in the bottom branch, and lamp E is positioned vertically between the two branches. The configuration forms a bridge network of bulbs connected in parallel and series combinations. The diagram is used to study potential differences, brightness, and current distribution in complex electrical circuits.",,
AQA_graph_040.png,,,,,,"The diagram labelled Figure 1 shows an experimental setup for investigating the photoelectric effect. It consists of a vacuum photocell containing a wire electrode and an electrode with a photoemissive surface connected in a circuit with a microammeter (µA), a voltmeter (V), and a variable voltage supply. The voltmeter measures the potential difference between the electrodes, while the microammeter detects the small photoelectric current produced when light falls on the photoemissive surface, causing electrons to be emitted and collected by the wire electrode. By adjusting the voltage, the stopping potential can be determined, allowing calculation of the maximum kinetic energy of emitted electrons and verification of Einstein’s photoelectric equation.",,
